Name,County,Date,Start Date and Time,End Date and Time,Latitude,Longitude,Acres Burned,Duration,Maximum Temperature,Minimum Temperature,Temperature,Dew Point,Precipitation,Wind Speed,Wind Gust,Wind Direction,Cloud Cover,Relative Humidity,Solar Radiation,Solar Energy,PDSI,NDVI,Elevation,Slope
Madera Fire ,Madera,2019-07-15,2019-07-15 18:19:31+00:00,2019-07-16 06:49:00+00:00,37.016944,-119.934167,213.0,0.520474537037037,98.2,65.5,81.3,54.4,0.0,15.4,17.2,302.29,1.5,42.84,497.4,28.7,2.0799999237060547,2931.0,111,2.187607288360596
Lincoln Fire,Riverside,2019-07-12,2019-07-12 17:15:31+00:00,2019-07-17 10:00:00+00:00,33.56938,-116.07896,80.0,4.69755787037037,116.0,85.0,101.8,50.1,0.0,14.4,23.0,260.54,4.2,19.57,423.8,24.4,0.7399997711181641,1576.0,-59,1.4485986232757568
Meadow Fire,Riverside,2019-07-16,2019-07-16 13:45:43+00:00,2019-07-17 21:29:00+00:00,33.514658,-116.7884,81.0,1.321724537037037,95.1,65.4,81.7,47.8,0.0,14.7,32.2,183.17,2.1,34.31,496.6,28.6,2.209999084472656,2876.0,1047,1.112301230430603
Whiskey Fire,San Joaquin,2019-07-16,2019-07-16 18:44:15+00:00,,37.962557,-121.468074,90.0,,92.0,63.5,75.6,53.1,0.0,21.0,29.8,262.88,0.0,48.63,434.1,26.6,2.049999237060547,6576.0,-2,4.384542465209961
Rains Fire,Stanislaus,2019-07-18,2019-07-18 09:07:57+00:00,2019-07-18 10:29:00+00:00,37.420988,-121.371276,35.0,0.05628472222222222,87.2,62.1,73.8,55.7,0.0,16.3,21.9,215.54,13.5,56.01,495.6,30.3,2.639999389648437,4024.0,352,11.555886268615724
Vista Fire,San Diego,2019-07-17,2019-07-17 17:42:04+00:00,2019-07-18 15:58:00+00:00,32.794768,-116.839743,25.0,0.9277314814814814,78.9,59.6,67.4,58.1,0.0,10.9,19.7,189.83,45.0,73.71,473.1,27.2,2.899999618530273,3383.0,216,7.801877498626709
Whiskey Fire,Calaveras,2019-07-18,2019-07-18 18:31:00+00:00,2019-07-20 08:56:00+00:00,38.115224,-120.78068,27.0,1.6006944444444444,93.3,66.3,79.2,55.2,0.0,14.3,23.0,242.63,0.3,46.3,235.8,13.6,2.059999465942383,4556.0,235,13.817927360534668
Thompson Fire ,San Luis Obispo,2019-07-24,2019-07-24 20:09:59+00:00,,35.004722,-120.435278,95.0,,82.6,55.0,66.6,56.3,0.0,16.3,25.3,232.79,4.1,72.97,300.2,23.8,2.6299991607666016,3354.0,95,0.9274099469184875
Valley Fire,Mariposa,2019-07-21,2019-07-21 12:01:40+00:00,,37.241427,-120.027731,149.0,,96.6,63.1,80.0,56.4,0.0,7.9,,299.46,2.7,48.24,337.0,29.1,2.9099998474121094,2558.0,223,10.370721817016602
Tejon Fire,Kern,2019-07-21,2019-07-21 15:30:17+00:00,,34.9008333,-118.9183333,208.0,,92.7,63.2,77.3,49.7,0.0,14.1,20.8,254.29,0.0,40.79,531.7,28.7,2.5,3861.0,915,60.44668197631836
Moms Fire ,Butte,2019-07-23,2019-07-23 14:41:00+00:00,,39.423833,-121.579738,10.0,,99.9,70.8,85.0,52.9,0.0,13.6,17.3,161.92,0.2,36.86,605.0,52.3,2.3799991607666016,3685.0,35,1.5168406963348389
Milpas Fire,San Bernardino,2019-07-22,2019-07-22 19:45:27+00:00,,34.42386,-117.10318,81.0,,99.9,52.1,69.7,47.2,0.03,15.1,,300.67,35.5,47.99,280.6,17.2,-0.0399999618530273,1887.0,1055,4.330045223236084
Star Fire,San Bernardino,2019-07-28,2019-07-28 13:20:11+00:00,,33.997528,-117.769766,156.0,,92.9,68.8,79.9,60.5,0.0,15.7,23.0,273.29,30.7,53.68,406.5,24.9,1.729999542236328,3759.0,327,10.332427978515623
Carson Fire,El Dorado,2019-07-30,2019-07-30 19:27:46+00:00,2019-07-31 06:47:00+00:00,38.757636,-120.75664,13.0,0.4716898148148148,84.3,67.0,75.5,41.8,0.0,8.1,19.7,178.92,0.0,31.37,421.2,25.8,2.729999542236328,6114.0,719,12.893977165222168
Dehesa Fire,San Diego,2019-07-28,2019-07-28 19:51:55+00:00,,32.767649,-116.796032,150.0,,82.1,63.7,72.0,62.0,0.0,9.9,18.3,265.52,31.1,72.35,432.4,24.9,2.799999237060547,5326.0,366,27.381139755249023
Sweigert Fire ,Santa Clara,2019-07-24,2019-07-24 20:01:44+00:00,,37.433192,-121.807258,80.0,,92.8,61.8,75.4,53.1,0.0,13.6,,274.13,14.2,53.7,447.8,27.4,2.5,6852.0,514,18.748340606689453
Marshview Fire,Solano,2019-07-24,2019-07-24 12:28:45+00:00,,38.158333,-122.118889,183.0,,96.8,56.2,75.3,51.0,0.0,13.7,,252.71,0.0,49.17,457.0,28.0,3.0799999237060547,3707.0,43,12.75987720489502
Canyon Fire,Napa,2019-07-22,2019-07-22 15:05:34+00:00,,38.481258,-122.143942,64.0,,95.7,62.9,78.5,55.7,0.0,11.3,16.1,229.08,0.0,49.25,485.5,29.7,2.489999771118164,6116.0,390,22.191293716430664
