Latitude,Longitude,Date,Maximum Temperature,Minimum Temperature,Temperature,Dew Point,Wind Chill,Heat Index,Precipitation,Precipitation Cover,Snow,Snow Depth,Wind Speed,Wind Gust,Wind Direction,Visibility,Cloud Cover,Relative Humidity,Sea Level Pressure,Solar Radiation,Solar Energy,Weather Type,Info,Conditions
34.675542,-118.342239,2019-08-13,98.7,58.0,79.9,36.8,,93.6,0.0,0.0,0.0,0.0,18.4,24.2,229.13,9.9,0.0,25.32,1015.4,540.9,27.3,,,Clear
38.652475,-120.826165,2019-08-15,94.7,74.0,84.1,43.2,,90.4,0.0,0.0,0.0,0.0,12.3,13.9,180.0,9.9,0.0,24.76,1017.2,422.1,24.3,,,Clear
37.219717,-121.761974,2019-08-15,94.2,64.2,78.2,55.6,,92.7,0.0,0.0,0.0,0.0,14.1,27.7,187.5,9.8,1.3,48.92,1012.6,506.1,25.5,Mist,,Clear
38.455,-121.969167,2019-08-13,99.1,60.0,80.0,53.8,,96.1,0.0,0.0,0.0,0.0,9.1,,210.88,9.9,0.0,45.26,1013.3,419.7,24.2,,,Clear
38.99174,-122.7751,2019-08-08,80.6,54.0,65.4,51.0,,79.8,0.0,0.0,0.0,0.0,12.1,17.2,189.86,9.8,7.8,63.1,1013.7,443.0,27.1,"Mist, Fog",,Clear
40.46968,-122.54364,2019-08-12,95.9,66.7,81.6,49.6,,91.1,0.0,0.0,0.0,0.0,10.1,,180.04,9.9,0.0,38.56,1013.2,479.1,25.9,,,Clear
32.57394,-116.760465,2019-08-15,78.6,63.7,69.2,62.1,,,0.0,0.0,0.0,0.0,10.8,19.7,287.75,6.7,44.3,79.56,1013.7,472.8,27.2,"Mist, Fog, Smoke Or Haze",,Partially cloudy
32.573437,-116.658735,2019-08-16,75.3,62.3,67.0,59.7,,,0.0,0.0,0.0,0.0,9.8,20.8,202.63,7.2,58.1,78.66,1013.4,453.8,26.1,"Mist, Fog, Smoke Or Haze",,Partially cloudy
40.484329,-122.159393,2019-08-15,107.8,71.6,91.2,50.9,,103.9,0.0,0.0,0.0,0.0,12.4,20.8,261.29,9.9,0.0,29.36,1011.5,448.1,25.8,,,Clear
39.005262,-123.195306,2019-08-12,91.3,55.9,72.5,47.1,,87.2,0.0,0.0,0.0,0.0,10.2,20.7,195.83,9.9,0.0,47.24,1015.5,379.1,23.2,,,Clear
37.71734,-121.55867,2019-08-21,90.6,57.5,72.3,56.2,,88.8,0.0,0.0,0.0,0.0,14.5,,296.42,9.9,2.4,61.9,1013.1,458.9,19.8,,,Clear
42.033,-122.175,2019-08-09,79.0,55.7,66.5,47.8,,,0.02,16.67,0.0,0.0,15.4,28.6,187.25,9.9,25.2,54.1,1013.6,267.9,22.2,"Lightning Without Thunder, Light Rain",,"Rain, Partially cloudy"
33.4506,-116.857817,2019-08-22,85.2,56.8,69.6,52.6,,83.5,0.0,0.0,0.0,0.0,13.3,20.8,219.08,9.5,11.0,57.34,1008.7,506.1,27.3,Mist,,Clear
33.77777348,-117.487578,2019-08-25,96.4,64.6,79.4,58.7,,95.5,0.0,0.0,0.0,0.0,16.5,25.4,261.71,9.8,1.2,54.81,1013.6,428.3,23.1,,,Clear
37.034183,-121.45597,2019-08-25,85.3,57.9,67.3,57.9,,85.0,0.0,0.0,0.0,0.0,19.3,30.0,160.08,8.6,17.4,74.81,1015.4,449.1,25.9,"Mist, Fog, Smoke Or Haze",,Clear
33.463991,-116.914799,2019-08-27,89.9,65.5,74.8,55.7,,88.5,0.0,0.0,0.0,0.0,10.3,17.2,121.08,9.4,11.0,53.57,1010.2,533.9,26.9,,,Clear
39.892222,-120.029722,2019-08-24,92.9,59.0,75.9,46.8,,89.2,0.0,0.0,0.0,0.0,18.3,33.3,296.21,9.9,5.3,38.9,1018.2,431.3,23.3,Mist,,Clear
32.557546,-116.873955,2019-08-25,88.6,65.7,76.7,61.1,,87.4,0.0,0.0,0.0,0.0,11.0,18.3,270.71,9.4,4.6,62.55,1013.9,420.1,22.7,Smoke Or Haze,,Clear
37.718636,-121.657011,2019-08-31,95.9,57.3,74.7,53.7,,92.9,0.0,0.0,0.0,0.0,12.9,,202.0,9.9,0.0,54.8,1013.0,480.0,25.9,,,Clear
35.906482,-120.992914,2019-09-01,106.1,57.8,80.0,48.4,,101.7,0.0,0.0,0.0,0.0,16.1,,172.86,9.9,0.0,38.37,1012.0,413.8,23.8,,,Clear
37.545167,-121.596667,2019-09-02,84.9,61.6,70.9,55.7,,83.8,0.0,0.0,0.0,0.0,16.4,20.8,281.63,9.9,9.7,60.77,1013.9,450.7,24.3,,,Clear
36.40193,-119.030621,2019-08-31,97.3,65.0,82.2,59.4,,96.4,0.0,0.0,0.0,0.0,8.1,,257.13,9.7,0.0,49.72,1012.5,387.4,16.7,Smoke Or Haze,,Clear
36.600167,-120.8405,2019-09-02,85.8,61.8,72.9,55.7,,84.7,0.0,0.0,0.0,0.0,14.9,18.3,300.46,9.9,0.0,57.06,1013.7,138.7,12.0,,,Clear
36.732866,-121.39478,2019-09-04,80.6,60.0,67.2,55.7,,80.6,0.0,0.0,0.0,0.0,18.4,,253.17,9.9,7.9,68.25,1012.6,372.5,20.1,,,Clear
38.910498,-122.642572,2019-09-04,88.2,52.3,68.4,51.6,,85.5,0.0,0.0,0.0,0.0,10.6,17.2,73.38,9.5,21.4,60.77,1011.3,266.6,22.1,"Mist, Fog",,Clear
34.353667,-117.343833,2019-09-02,93.9,71.0,80.4,57.8,,92.5,0.01,8.33,0.0,0.0,13.5,23.0,217.42,9.8,29.0,48.52,1013.3,400.1,20.2,Smoke Or Haze,,"Rain, Partially cloudy"
37.178353,-122.07743,2019-09-03,78.7,59.7,67.7,58.0,,,0.0,0.0,0.0,0.0,13.0,,225.04,9.9,19.7,72.6,1015.0,331.4,16.7,,,Clear
38.955024,-122.833831,2019-09-07,73.8,55.7,63.7,53.3,,,0.0,0.0,0.0,0.0,15.0,29.9,174.67,8.6,21.6,70.35,1015.7,239.0,20.6,Mist,,Clear
38.898915,-120.946657,2019-09-03,91.7,72.7,84.1,52.0,,92.7,0.0,0.0,0.0,0.0,7.1,,154.88,9.9,0.3,34.46,1015.7,361.3,22.1,,,Clear
38.017138,-120.945044,2019-09-05,92.7,69.4,78.9,53.0,,89.7,0.0,0.0,0.0,0.0,12.8,17.2,304.83,9.9,0.0,42.67,1012.6,125.3,10.8,,,Clear
33.496633,-116.631106,2019-09-10,91.9,72.3,81.4,52.9,,88.7,0.0,0.0,0.0,0.0,17.9,28.8,276.54,9.9,9.2,38.86,1006.9,408.8,20.6,,,Clear
41.512917,-122.740333,2019-09-07,83.0,52.3,66.2,41.2,,80.4,0.0,0.0,0.0,0.0,11.1,27.7,202.88,9.9,2.8,44.41,1016.5,309.3,17.8,,,Clear
37.32585,-121.110146,2019-09-11,85.0,56.4,70.4,51.8,,82.9,0.0,0.0,0.0,0.0,14.0,18.3,323.25,9.9,0.0,55.72,1015.2,339.3,18.3,,,Clear
33.854597,-117.270144,2019-09-12,97.7,53.2,75.4,51.6,,93.2,0.0,0.0,0.0,0.0,17.0,22.4,175.04,9.0,0.0,55.98,1014.3,426.0,21.5,Mist,,Clear
39.470333,-121.412333,2019-09-06,92.0,60.7,75.9,51.9,,88.4,0.0,0.0,0.0,0.0,11.7,,158.29,9.9,0.2,46.86,1016.2,529.3,45.7,,,Clear
37.492002,-120.401028,2019-09-13,97.0,57.2,76.8,50.2,,92.4,0.0,0.0,0.0,0.0,9.3,,238.83,9.7,1.3,45.99,1014.1,384.1,20.7,,,Clear
34.630919,-120.187368,2019-09-09,79.3,50.5,61.3,53.2,,,0.0,0.0,0.0,0.0,18.9,27.1,233.08,7.8,31.3,78.32,1012.5,403.1,23.2,"Mist, Fog",,Partially cloudy
33.900994,-117.170588,2019-09-21,91.7,52.6,71.9,47.9,,87.4,0.0,0.0,0.0,0.0,12.9,19.7,147.71,9.6,0.0,55.69,1011.7,473.8,22.2,,,Clear
38.20177,-120.827386,2019-09-22,84.8,57.3,71.7,47.1,,82.2,0.0,0.0,0.0,0.0,8.7,,160.71,9.9,5.2,44.8,1012.6,173.6,8.7,,,Clear
40.612556,-122.039167,2019-09-24,98.0,72.3,84.5,48.2,,95.6,0.0,0.0,0.0,0.0,21.7,34.5,264.88,9.9,0.0,29.23,1015.6,294.8,15.9,,,Clear
